timestamp,equipment_tag,unit_id,Discharge_Pressure_barg,Vibration_mm_s,Stage_Temp_C,anomaly_flag
2026-02-13T18:00:00,300-C-310,300,26.01,3.89,94.68,0
2026-02-14T00:00:00,300-C-310,300,109.34,3.97,100.16,0
2026-02-14T06:00:00,300-C-310,300,119.42,3.26,107.85,0
2026-02-14T12:00:00,300-C-310,300,136.58,2.02,148.16,0
2026-02-14T18:00:00,300-C-310,300,148.62,3.02,159.48,0
2026-02-15T00:00:00,300-C-310,300,96.03,3.19,122.14,0
2026-02-15T06:00:00,300-C-310,300,149.07,3.24,108.91,0
2026-02-15T12:00:00,300-C-310,300,145.08,1.84,174.81,0
2026-02-15T18:00:00,300-C-310,300,90.47,2.57,148.71,0
2026-02-16T00:00:00,300-C-310,300,73.19,2.33,113.9,0
2026-02-16T06:00:00,300-C-310,300,49.5,3.14,189.97,0
2026-02-16T12:00:00,300-C-310,300,62.36,3.06,64.53,0
2026-02-16T18:00:00,300-C-310,300,102.69,2.88,105.32,0
2026-02-17T00:00:00,300-C-310,300,44.23,3.89,61.16,0
2026-02-17T06:00:00,300-C-310,300,116.08,1.4,104.78,0
2026-02-17T12:00:00,300-C-310,300,138.05,2.31,140.11,0
2026-02-17T18:00:00,300-C-310,300,48.91,3.26,122.22,0
2026-02-18T00:00:00,300-C-310,300,29.55,2.64,95.5,0
2026-02-18T06:00:00,300-C-310,300,106.12,2.4,72.91,0
2026-02-18T12:00:00,300-C-310,300,35.16,1.47,90.87,0
2026-02-18T18:00:00,300-C-310,300,55.09,2.4,104.1,0
2026-02-19T00:00:00,300-C-310,300,112.8,2.68,146.49,0
2026-02-19T06:00:00,300-C-310,300,67.35,3.29,86.71,0
2026-02-19T12:00:00,300-C-310,300,34.84,3.71,77.65,0
2026-02-19T18:00:00,300-C-310,300,32.73,3.04,108.47,0
2026-02-20T00:00:00,300-C-310,300,132.84,3.11,155.55,0
2026-02-20T06:00:00,300-C-310,300,140.52,2.28,181.82,0
2026-02-20T12:00:00,300-C-310,300,147.9,3.85,144.45,0
2026-02-20T18:00:00,300-C-310,300,120.4,3.21,173.24,0
2026-02-21T00:00:00,300-C-310,300,63.64,2.35,133.51,0
2026-02-21T06:00:00,300-C-310,300,20.15,2.02,190.83,0
2026-02-21T12:00:00,300-C-310,300,80.91,2.13,105.22,0
2026-02-21T18:00:00,300-C-310,300,112.65,3.34,78.34,0
2026-02-22T00:00:00,300-C-310,300,84.98,3.97,125.52,0
2026-02-22T06:00:00,300-C-310,300,111.52,2.43,120.85,0
2026-02-22T12:00:00,300-C-310,300,130.69,1.14,162.25,0
2026-02-22T18:00:00,300-C-310,300,25.74,2.86,76.88,0
2026-02-23T00:00:00,300-C-310,300,59.83,2.44,86.72,0
2026-02-23T06:00:00,300-C-310,300,40.83,1.72,192.85,0
2026-02-23T12:00:00,300-C-310,300,86.57,1.42,68.43,0
2026-02-23T18:00:00,300-C-310,300,114.39,2.94,179.01,0
2026-02-24T00:00:00,300-C-310,300,73.35,1.27,91.17,0
2026-02-24T06:00:00,300-C-310,300,155.39,3.19,187.83,0
2026-02-24T12:00:00,300-C-310,300,145.6,1.76,70.19,0
2026-02-24T18:00:00,300-C-310,300,101.76,2.2,61.96,0
2026-02-25T00:00:00,300-C-310,300,150.08,3.84,149.3,0
2026-02-25T06:00:00,300-C-310,300,38.53,2.23,96.5,0
2026-02-25T12:00:00,300-C-310,300,102.48,2.64,134.52,0
2026-02-25T18:00:00,300-C-310,300,28.31,1.78,72.52,0
2026-02-26T00:00:00,300-C-310,300,62.55,2.03,113.45,0
2026-02-26T06:00:00,300-C-310,300,56.31,1.29,199.55,0
2026-02-26T12:00:00,300-C-310,300,62.48,2.78,108.61,0
2026-02-26T18:00:00,300-C-310,300,146.64,3.72,123.51,0
2026-02-27T00:00:00,300-C-310,300,26.76,2.24,168.37,0
2026-02-27T06:00:00,300-C-310,300,61.86,2.04,108.11,0
2026-02-27T12:00:00,300-C-310,300,140.51,2.02,77.22,0
2026-02-27T18:00:00,300-C-310,300,87.19,1.22,188.28,0
2026-02-28T00:00:00,300-C-310,300,75.16,1.46,129.7,0
2026-02-28T06:00:00,300-C-310,300,150.8,3.32,115.63,0
2026-02-28T12:00:00,300-C-310,300,100.77,2.7,122.83,0
2026-02-28T18:00:00,300-C-310,300,111.37,1.67,90.97,0
