timestamp,equipment_tag,unit_id,Set_Pressure_barg,Body_Temp_C,anomaly_flag
2025-11-16T12:00:00,200-PSV-207,200,44.47,38.37,0
2025-11-16T18:00:00,200-PSV-207,200,113.72,92.95,0
2025-11-17T00:00:00,200-PSV-207,200,119.19,168.29,0
2025-11-17T06:00:00,200-PSV-207,200,169.81,166.53,0
2025-11-17T12:00:00,200-PSV-207,200,151.74,94.77,0
2025-11-17T18:00:00,200-PSV-207,200,14.31,160.8,0
2025-11-18T00:00:00,200-PSV-207,200,179.15,108.7,0
2025-11-18T06:00:00,200-PSV-207,200,162.38,126.17,0
2025-11-18T12:00:00,200-PSV-207,200,72.42,171.45,0
2025-11-18T18:00:00,200-PSV-207,200,15.91,91.65,0
2025-11-19T00:00:00,200-PSV-207,200,126.77,43.89,0
2025-11-19T06:00:00,200-PSV-207,200,101.91,96.08,0
2025-11-19T12:00:00,200-PSV-207,200,43.53,99.07,0
2025-11-19T18:00:00,200-PSV-207,200,135.11,143.94,0
2025-11-20T00:00:00,200-PSV-207,200,108.5,161.92,0
2025-11-20T06:00:00,200-PSV-207,200,76.65,128.67,0
2025-11-20T12:00:00,200-PSV-207,200,22.39,142.2,0
2025-11-20T18:00:00,200-PSV-207,200,121.77,136.46,0
2025-11-21T00:00:00,200-PSV-207,200,144.67,197.42,0
2025-11-21T06:00:00,200-PSV-207,200,131.55,195.69,0
2025-11-21T12:00:00,200-PSV-207,200,119.5,77.22,0
2025-11-21T18:00:00,200-PSV-207,200,156.57,143.8,0
2025-11-22T00:00:00,200-PSV-207,200,114.73,54.79,0
2025-11-22T06:00:00,200-PSV-207,200,103.9,87.79,0
2025-11-22T12:00:00,200-PSV-207,200,105.86,187.01,0
2025-11-22T18:00:00,200-PSV-207,200,71.78,33.32,0
2025-11-23T00:00:00,200-PSV-207,200,26.35,121.56,0
2025-11-23T06:00:00,200-PSV-207,200,152.57,38.3,0
2025-11-23T12:00:00,200-PSV-207,200,77.06,87.62,0
2025-11-23T18:00:00,200-PSV-207,200,82.23,136.64,0
2025-11-24T00:00:00,200-PSV-207,200,92.98,76.16,0
2025-11-24T06:00:00,200-PSV-207,200,157.14,167.66,0
2025-11-24T12:00:00,200-PSV-207,200,162.05,51.39,0
2025-11-24T18:00:00,200-PSV-207,200,98.63,70.13,0
2025-11-25T00:00:00,200-PSV-207,200,21.9,187.6,0
2025-11-25T06:00:00,200-PSV-207,200,120.42,107.58,0
2025-11-25T12:00:00,200-PSV-207,200,139.06,174.27,0
2025-11-25T18:00:00,200-PSV-207,200,86.51,48.28,0
2025-11-26T00:00:00,200-PSV-207,200,162.76,116.18,0
2025-11-26T06:00:00,200-PSV-207,200,78.17,62.95,0
2025-11-26T12:00:00,200-PSV-207,200,96.03,177.51,0
2025-11-26T18:00:00,200-PSV-207,200,168.07,53.98,0
2025-11-27T00:00:00,200-PSV-207,200,25.9,198.56,0
2025-11-27T06:00:00,200-PSV-207,200,96.6,137.78,0
2025-11-27T12:00:00,200-PSV-207,200,126.59,100.15,0
2025-11-27T18:00:00,200-PSV-207,200,74.04,178.08,0
2025-11-28T00:00:00,200-PSV-207,200,114.14,33.89,0
2025-11-28T06:00:00,200-PSV-207,200,11.68,172.47,0
2025-11-28T12:00:00,200-PSV-207,200,108.88,156.76,0
2025-11-28T18:00:00,200-PSV-207,200,92.43,150.81,0
2025-11-29T00:00:00,200-PSV-207,200,65.75,92.22,0
2025-11-29T06:00:00,200-PSV-207,200,64.88,79.93,0
2025-11-29T12:00:00,200-PSV-207,200,170.99,178.94,0
2025-11-29T18:00:00,200-PSV-207,200,100.41,37.19,0
2025-11-30T00:00:00,200-PSV-207,200,167.1,167.56,0
2025-11-30T06:00:00,200-PSV-207,200,116.69,193.89,0
2025-11-30T12:00:00,200-PSV-207,200,137.13,133.2,0
2025-11-30T18:00:00,200-PSV-207,200,64.07,135.89,0
