timestamp,equipment_tag,unit_id,Discharge_Pressure_barg,Suction_Pressure_barg,Vibration_mm_s,Motor_Current_A,anomaly_flag
2026-04-08T12:00:00,400-P-405,400,24.96,1.94,2.95,57.19,0
2026-04-08T18:00:00,400-P-405,400,19.91,4.68,2.78,71.51,0
2026-04-09T00:00:00,400-P-405,400,9.62,4.03,4.17,49.43,0
2026-04-09T06:00:00,400-P-405,400,17.07,3.33,3.74,49.2,0
2026-04-09T12:00:00,400-P-405,400,16.7,4.13,1.9,50.41,0
2026-04-09T18:00:00,400-P-405,400,22.66,2.96,4.32,70.46,0
2026-04-10T00:00:00,400-P-405,400,21.35,4.98,2.13,50.46,0
2026-04-10T06:00:00,400-P-405,400,13.52,2.81,2.85,65.95,0
2026-04-10T12:00:00,400-P-405,400,14.07,1.48,1.6,61.03,0
2026-04-10T18:00:00,400-P-405,400,11.58,4.81,2.52,71.34,0
2026-04-11T00:00:00,400-P-405,400,23.5,4.59,3.88,56.96,0
2026-04-11T06:00:00,400-P-405,400,19.33,3.9,4.16,71.45,0
2026-04-11T12:00:00,400-P-405,400,14.46,2.27,4.14,42.63,0
2026-04-11T18:00:00,400-P-405,400,20.98,4.12,2.66,87.72,0
2026-04-12T00:00:00,400-P-405,400,10.33,2.82,3.47,74.19,0
2026-04-12T06:00:00,400-P-405,400,22.75,1.5,3.19,77.53,0
2026-04-12T12:00:00,400-P-405,400,11.19,2.59,2.45,74.89,0
2026-04-12T18:00:00,400-P-405,400,18.79,2.05,4.04,56.42,0
2026-04-13T00:00:00,400-P-405,400,20.95,2.9,3.0,80.17,0
2026-04-13T06:00:00,400-P-405,400,10.8,2.72,3.94,47.67,0
2026-04-13T12:00:00,400-P-405,400,15.75,1.16,3.98,42.91,0
2026-04-13T18:00:00,400-P-405,400,17.87,4.58,2.63,76.44,0
2026-04-14T00:00:00,400-P-405,400,18.01,1.54,2.99,57.31,0
2026-04-14T06:00:00,400-P-405,400,15.67,4.49,4.1,52.18,0
2026-04-14T12:00:00,400-P-405,400,16.4,2.53,3.76,46.73,0
2026-04-14T18:00:00,400-P-405,400,22.01,3.9,3.4,65.53,0
2026-04-15T00:00:00,400-P-405,400,10.25,4.96,2.53,81.54,0
2026-04-15T06:00:00,400-P-405,400,18.5,4.12,1.58,69.04,0
2026-04-15T12:00:00,400-P-405,400,11.34,4.19,2.89,74.39,0
2026-04-15T18:00:00,400-P-405,400,13.65,4.11,3.47,59.7,0
2026-04-16T00:00:00,400-P-405,400,11.51,2.98,2.98,40.37,0
2026-04-16T06:00:00,400-P-405,400,15.83,3.11,2.74,52.94,0
2026-04-16T12:00:00,400-P-405,400,23.26,3.6,2.04,54.41,0
2026-04-16T18:00:00,400-P-405,400,14.22,1.53,1.86,79.4,0
2026-04-17T00:00:00,400-P-405,400,16.57,4.68,3.54,59.8,0
2026-04-17T06:00:00,400-P-405,400,22.86,1.17,4.19,51.72,0
2026-04-17T12:00:00,400-P-405,400,8.26,2.39,3.08,56.37,0
2026-04-17T18:00:00,400-P-405,400,8.73,2.78,1.72,84.99,0
2026-04-18T00:00:00,400-P-405,400,11.46,1.66,2.56,43.2,0
2026-04-18T06:00:00,400-P-405,400,19.45,3.82,3.05,57.45,0
2026-04-18T12:00:00,400-P-405,400,12.74,4.77,2.86,53.92,0
2026-04-18T18:00:00,400-P-405,400,18.44,4.0,3.22,77.54,0
2026-04-19T00:00:00,400-P-405,400,20.67,2.61,4.4,79.59,0
2026-04-19T06:00:00,400-P-405,400,8.31,3.83,2.89,88.44,0
2026-04-19T12:00:00,400-P-405,400,9.57,4.2,3.65,58.13,0
2026-04-19T18:00:00,400-P-405,400,12.93,1.83,1.81,47.12,0
2026-04-20T00:00:00,400-P-405,400,9.08,3.35,3.39,58.44,0
2026-04-20T06:00:00,400-P-405,400,14.7,4.33,3.14,53.83,0
2026-04-20T12:00:00,400-P-405,400,23.15,2.68,1.66,47.7,0
2026-04-20T18:00:00,400-P-405,400,9.81,4.35,1.72,42.46,0
2026-04-21T00:00:00,400-P-405,400,12.55,1.64,2.63,56.39,0
2026-04-21T06:00:00,400-P-405,400,14.21,4.57,3.15,58.69,0
2026-04-21T12:00:00,400-P-405,400,24.12,4.27,3.94,79.65,0
2026-04-21T18:00:00,400-P-405,400,10.71,3.09,3.95,52.97,0
2026-04-22T00:00:00,400-P-405,400,13.77,3.74,1.95,43.5,0
2026-04-22T06:00:00,400-P-405,400,14.45,3.76,2.54,71.19,0
2026-04-22T12:00:00,400-P-405,400,18.23,1.07,3.47,44.75,0
2026-04-22T18:00:00,400-P-405,400,14.17,1.38,1.6,41.71,0
2026-04-23T00:00:00,400-P-405,400,10.07,2.14,2.89,44.4,0
2026-04-23T06:00:00,400-P-405,400,8.12,3.57,2.13,68.1,0
2026-04-23T12:00:00,400-P-405,400,22.76,2.75,4.32,70.86,0
2026-04-23T18:00:00,400-P-405,400,12.75,4.98,4.03,46.12,0
2026-04-24T00:00:00,400-P-405,400,23.4,4.3,2.74,74.6,0
2026-04-24T06:00:00,400-P-405,400,24.38,2.51,3.24,71.22,0
2026-04-24T12:00:00,400-P-405,400,12.13,1.49,3.84,83.59,0
2026-04-24T18:00:00,400-P-405,400,22.27,1.09,3.33,87.89,0
2026-04-25T00:00:00,400-P-405,400,8.85,2.25,1.65,40.14,0
2026-04-25T06:00:00,400-P-405,400,19.47,3.33,3.9,81.33,0
2026-04-25T12:00:00,400-P-405,400,12.05,2.69,2.26,58.9,0
2026-04-25T18:00:00,400-P-405,400,20.75,1.07,2.29,76.22,0
2026-04-26T00:00:00,400-P-405,400,20.45,3.26,4.48,51.68,0
2026-04-26T06:00:00,400-P-405,400,14.24,2.32,3.17,86.66,0
2026-04-26T12:00:00,400-P-405,400,10.53,4.35,4.23,48.04,0
2026-04-26T18:00:00,400-P-405,400,14.02,3.75,2.29,81.38,0
2026-04-27T00:00:00,400-P-405,400,10.46,4.63,3.64,48.57,0
2026-04-27T06:00:00,400-P-405,400,11.1,2.85,2.66,80.27,0
2026-04-27T12:00:00,400-P-405,400,21.03,2.72,3.56,43.11,0
2026-04-27T18:00:00,400-P-405,400,10.25,2.66,2.26,87.79,0
2026-04-28T00:00:00,400-P-405,400,19.89,4.02,1.96,53.92,0
2026-04-28T06:00:00,400-P-405,400,17.7,3.13,2.91,81.91,0
2026-04-28T12:00:00,400-P-405,400,10.36,4.9,3.59,65.26,0
2026-04-28T18:00:00,400-P-405,400,15.02,4.38,4.19,60.14,0
2026-04-29T00:00:00,400-P-405,400,20.71,4.42,3.64,74.36,0
2026-04-29T06:00:00,400-P-405,400,8.18,2.28,2.71,82.72,0
2026-04-29T12:00:00,400-P-405,400,19.4,3.28,4.19,76.43,0
2026-04-29T18:00:00,400-P-405,400,23.35,2.04,3.52,86.66,0
2026-04-30T00:00:00,400-P-405,400,24.3,1.04,3.81,80.45,0
2026-04-30T06:00:00,400-P-405,400,12.97,3.84,4.27,59.2,0
2026-04-30T12:00:00,400-P-405,400,23.72,1.52,4.22,54.02,0
2026-04-30T18:00:00,400-P-405,400,23.18,3.32,1.73,41.08,0
